step,coherence,density,skewness,spectral_radius_est,R_t,phase
0,0.0021229786798357964,0.15234375,-0.2048121799078489,0.7352243661880493,0.3231340852401282,ALIVE
1,0.002141352044418454,0.15234375,-0.2048121799078489,0.7352243661880493,0.3288696290445867,ALIVE
2,0.0021598711609840393,0.15234375,-0.2048121799078489,0.7352243661880493,0.33854441372288435,ALIVE
3,0.002178539987653494,0.15234375,-0.2048121799078489,0.7352243661880493,0.3471310461657142,ALIVE
4,0.002197360387071967,0.15234375,-0.2048121799078489,0.7352243661880493,0.34293333732023434,ALIVE
5,0.0022163332905620337,0.15234375,-0.2048121799078489,0.7352243661880493,0.4309142344453687,ALIVE
6,0.002235458930954337,0.15234375,-0.2048121799078489,0.7352243661880493,0.5519472593122914,ALIVE
7,0.0022547394037246704,0.15234375,-0.2048121799078489,0.7352243661880493,0.595508749421711,ALIVE
8,0.0022741754073649645,0.15234375,-0.2048121799078489,0.7352243661880493,0.5961808549563803,ALIVE
9,0.0022940952330827713,0.15234375,-0.2048121799078489,0.7352243661880493,0.5941883072035845,ALIVE
10,0.002315708203241229,0.07421875,0.0,0.6423203945159912,0.5778991368312508,ALIVE
11,0.0023375286255031824,0.07421875,0.0,0.6423203945159912,0.5962528699158285,ALIVE
12,0.0023595010861754417,0.07421875,0.0,0.6423203945159912,0.5805324764013093,ALIVE
13,0.0023816556204110384,0.07421875,0.0,0.6423203945159912,0.5734388353168848,ALIVE
14,0.002403993159532547,0.07421875,0.0,0.6423203945159912,0.5862685147240526,ALIVE
15,0.0024265155661851168,0.07421875,0.0,0.6423203945159912,0.5895796419186287,ALIVE
16,0.002449224004521966,0.07421875,0.0,0.6423203945159912,0.5718680514342797,ALIVE
17,0.0024721198715269566,0.07421875,0.0,0.6423203945159912,0.5543217482641122,ALIVE
18,0.0024952050298452377,0.07421875,0.0,0.6423203945159912,0.5809782053898649,ALIVE
19,0.0025184806436300278,0.07421875,0.0,0.6423203945159912,0.5959600143727949,ALIVE
20,0.0025419481098651886,0.07421875,0.0,0.6423203945159912,0.552720013225224,ALIVE
21,0.002565632574260235,0.07421875,0.0,0.6423203945159912,0.5768626439494834,ALIVE
22,0.002589488634839654,0.07421875,0.0,0.6423203945159912,0.5799861077588858,ALIVE
23,0.002613541204482317,0.07421875,0.0,0.6423203945159912,0.5557383848320867,ALIVE
24,0.0026377912145107985,0.07421875,0.0,0.6423203945159912,0.5857473788148053,ALIVE
25,0.0026622412260621786,0.01171875,0.0,0.0,0.571631487940211,ALIVE
26,0.0026868919376283884,0.01171875,0.0,0.0,0.5485445953785547,ALIVE
27,0.002711745211854577,0.01171875,0.0,0.0,0.5858359288513748,ALIVE
28,0.00273680267855525,0.01171875,0.0,0.0,0.5568877587352583,ALIVE
29,0.0027620659675449133,0.01171875,0.0,0.0,0.5505866968782781,ALIVE
30,0.0027875364758074284,0.01171875,0.0,0.0,0.5687439473073235,ALIVE
31,0.0028132200241088867,0.01171875,0.0,0.0,0.548010069478829,ALIVE
32,0.002839110093191266,0.01171875,0.0,0.0,0.5639313385793361,ALIVE
33,0.002865211572498083,0.01171875,0.0,0.0,0.5911030391283268,ALIVE
34,0.0028915265575051308,0.01171875,0.0,0.0,0.5730021394110152,ALIVE
35,0.002918057609349489,0.01171875,0.0,0.0,0.5663013468212059,ALIVE
36,0.0029448051936924458,0.01171875,0.0,0.0,0.5766857543961363,ALIVE
37,0.0029717721045017242,0.01171875,0.0,0.0,0.5619146135256635,ALIVE
38,0.0029989583417773247,0.01171875,0.0,0.0,0.5481927042326529,ALIVE
39,0.0030263669323176146,0.01171875,0.0,0.0,0.58744219400301,ALIVE
40,0.0030539995059370995,0.0,0.0,0.0,0.5544811090772802,ALIVE
41,0.0030818891245871782,0.0,0.0,0.0,0.5652501836360824,ALIVE
42,0.003109973855316639,0.0,0.0,0.0,0.5617684824290476,ALIVE
43,0.003138287691399455,0.0,0.0,0.0,0.5623059538875362,ALIVE
44,0.003166831796988845,0.0,0.0,0.0,0.5527263942998005,ALIVE
45,0.003195608966052532,0.0,0.0,0.0,0.5729353156767703,ALIVE
46,0.003224619198590517,0.0,0.0,0.0,0.5649540444089589,ALIVE
47,0.0032538657542318106,0.0,0.0,0.0,0.5465704613143909,ALIVE
48,0.003283349797129631,0.0,0.0,0.0,0.5610465309494743,ALIVE
49,0.0033130734227597713,0.0,0.0,0.0,0.5634286766696213,ALIVE
